// Total Frames: 2656 
// Name  Frame  Time  x  y  z
// ===========================
RightHand 837 6.975 -0.351213 2.010995 0.065181
RightHand 838 6.983333 -0.355016 1.984324 0.066993
RightHand 839 6.991667 -0.358132 1.957387 0.070052
RightHand 840 7.0 -0.360392 1.928816 0.072804
RightHand 841 7.008333 -0.362749 1.89896 0.076089
RightHand 842 7.016667 -0.365116 1.868259 0.079281
RightHand 843 7.025 -0.366123 1.835694 0.082207
RightHand 844 7.033333 -0.36606 1.802858 0.084737
RightHand 845 7.041667 -0.366614 1.768682 0.087832
RightHand 846 7.05 -0.366322 1.733303 0.090193
RightHand 847 7.058333 -0.365255 1.697177 0.092667
RightHand 848 7.066667 -0.363183 1.660101 0.094977
RightHand 849 7.075 -0.36165 1.622639 0.096948
RightHand 850 7.083333 -0.358143 1.584269 0.098953
RightHand 851 7.091667 -0.353743 1.545419 0.101306
RightHand 852 7.1 -0.34864 1.506541 0.103083
RightHand 853 7.108333 -0.341811 1.466977 0.105276
RightHand 854 7.116667 -0.334212 1.42689 0.10665
RightHand 855 7.125 -0.325544 1.386525 0.107234
RightHand 856 7.133333 -0.316562 1.346483 0.107358
RightHand 857 7.141667 -0.307171 1.306068 0.106749
RightHand 858 7.15 -0.29678 1.266334 0.105708
RightHand 859 7.158333 -0.285583 1.22788 0.105167
RightHand 860 7.166667 -0.275185 1.191143 0.104808
RightHand 861 7.175 -0.264481 1.155853 0.105512
RightHand 862 7.183333 -0.254074 1.122183 0.106018
RightHand 863 7.191667 -0.24326 1.089874 0.107113
RightHand 864 7.2 -0.233506 1.058927 0.108484
RightHand 865 7.208333 -0.222807 1.029362 0.110033
RightHand 866 7.216667 -0.21176 1.001047 0.111758
RightHand 867 7.225 -0.200227 0.975093 0.114627
RightHand 868 7.233333 -0.187541 0.951035 0.117502
RightHand 869 7.241667 -0.175289 0.929115 0.12105
RightHand 870 7.25 -0.162531 0.909075 0.124891
RightHand 871 7.258333 -0.150906 0.891685 0.128738
RightHand 872 7.266667 -0.137852 0.873853 0.132964
RightHand 873 7.275 -0.126692 0.859863 0.137426
RightHand 874 7.283333 -0.11514 0.84727 0.141592
RightHand 875 7.291667 -0.103964 0.836625 0.146419
RightHand 876 7.3 -0.092255 0.828198 0.150587
RightHand 877 7.308333 -0.080529 0.822008 0.154951
RightHand 887 7.391667 0.038658 0.835239 0.180814
RightHand 888 7.4 0.049837 0.843663 0.180762
RightHand 916 7.633333 0.241975 1.021762 0.164111
RightHand 919 7.658333 0.254113 1.030808 0.170086
RightHand 920 7.666667 0.258743 1.034188 0.172619
RightHand 922 7.683333 0.26988 1.039175 0.175729
RightHand 923 7.691667 0.275636 1.042145 0.177219
RightHand 924 7.7 0.282109 1.044936 0.17846
RightHand 925 7.708333 0.288147 1.047934 0.178592
RightHand 926 7.716667 0.29489 1.050185 0.178811
RightHand 927 7.725 0.301538 1.052487 0.179257
RightHand 928 7.733333 0.308211 1.054873 0.179923
RightHand 929 7.741667 0.315581 1.05686 0.18051
RightHand 931 7.758333 0.330322 1.0612 0.180359
RightHand 932 7.766667 0.337875 1.063417 0.179609
RightHand 933 7.775 0.345845 1.065902 0.178952
RightHand 934 7.783333 0.354337 1.068096 0.177681
RightHand 935 7.791667 0.36278 1.070716 0.176442
RightHand 936 7.8 0.37152 1.073803 0.175191
RightHand 937 7.808333 0.380454 1.077486 0.173627
RightHand 938 7.816667 0.389388 1.081223 0.172564
RightHand 939 7.825 0.39873 1.085375 0.171423
RightHand 940 7.833333 0.409398 1.089318 0.170048
RightHand 941 7.841667 0.420065 1.093119 0.168312
RightHand 942 7.85 0.431259 1.097534 0.166351
RightHand 943 7.858333 0.443915 1.101626 0.164009
RightHand 944 7.866667 0.456768 1.10622 0.161447
RightHand 945 7.875 0.470342 1.110563 0.158577
RightHand 946 7.883333 0.484679 1.114886 0.155406
RightHand 947 7.891667 0.499288 1.119416 0.152188
RightHand 948 7.9 0.51489 1.123747 0.149101
RightHand 949 7.908333 0.530775 1.128798 0.145748
RightHand 950 7.916667 0.547375 1.133481 0.141734
RightHand 951 7.925 0.564232 1.138039 0.136843
RightHand 952 7.933333 0.58266 1.143309 0.132077
RightHand 953 7.941667 0.601394 1.148206 0.127085
RightHand 954 7.95 0.61939 1.151952 0.121249
RightHand 955 7.958333 0.640187 1.156678 0.115828
RightHand 956 7.966667 0.660535 1.160712 0.110681
RightHand 957 7.975 0.680334 1.165094 0.104567
RightHand 958 7.983333 0.700905 1.168983 0.099435
RightHand 959 7.991667 0.721483 1.173266 0.094679
RightHand 960 8.0 0.74283 1.177295 0.089869
RightHand 961 8.008333 0.764345 1.180407 0.085042
RightHand 962 8.016667 0.78645 1.182907 0.079778
RightHand 963 8.025 0.808923 1.185946 0.07448
RightHand 964 8.033333 0.83155 1.187677 0.068002
RightHand 965 8.041667 0.853992 1.189667 0.060798
RightHand 966 8.05 0.87653 1.192047 0.054325
RightHand 967 8.058333 0.898362 1.195179 0.046996
RightHand 968 8.066667 0.919888 1.197463 0.039135
RightHand 969 8.075 0.941305 1.199474 0.031134
RightHand 970 8.083333 0.962713 1.201177 0.02378
RightHand 971 8.091667 0.98467 1.201829 0.016424
RightHand 972 8.1 1.007259 1.20218 0.008862
RightHand 973 8.108333 1.030666 1.201541 0.001313
RightHand 974 8.116667 1.054299 1.200747 -0.006522
RightHand 975 8.125 1.076443 1.199887 -0.013758
RightHand 976 8.133333 1.097371 1.199312 -0.020465
RightHand 977 8.141667 1.116468 1.198952 -0.025688
RightHand 978 8.15 1.13451 1.197661 -0.031133
RightHand 979 8.158333 1.151296 1.196567 -0.034441
RightHand 980 8.166667 1.166973 1.194289 -0.036884
RightHand 981 8.175 1.180566 1.192063 -0.038542
RightHand 982 8.183333 1.19275 1.18989 -0.040356
RightHand 983 8.191667 1.202874 1.1881 -0.042295
RightHand 984 8.2 1.211693 1.186601 -0.044927
RightHand 985 8.208333 1.218495 1.185484 -0.047862
RightHand 986 8.216667 1.223977 1.184752 -0.051092
RightHand 987 8.225 1.229089 1.183506 -0.055159
RightHand 988 8.233333 1.233832 1.181602 -0.058585
RightHand 989 8.241667 1.238411 1.179761 -0.062248
RightHand 990 8.25 1.243217 1.176478 -0.064649
RightHand 991 8.258333 1.247668 1.172678 -0.066329
RightHand 992 8.266667 1.254113 1.168135 -0.068276
RightHand 993 8.275 1.258144 1.164262 -0.067487
RightHand 994 8.283333 1.263106 1.160235 -0.067027
RightHand 995 8.291667 1.267127 1.15632 -0.066255
